model,curve,x,y
Logistic Regression (unweighted),PR,0.9545454545454546,0.10619469026548672
Logistic Regression (unweighted),PR,0.9545454545454546,0.10632911392405063
Logistic Regression (unweighted),PR,0.9545454545454546,0.10646387832699619
Logistic Regression (unweighted),PR,0.9545454545454546,0.1065989847715736
Logistic Regression (unweighted),PR,0.9545454545454546,0.10673443456162643
Logistic Regression (unweighted),PR,0.9545454545454546,0.10687022900763359
Logistic Regression (unweighted),PR,0.9545454545454546,0.1070063694267516
Logistic Regression (unweighted),PR,0.9545454545454546,0.10714285714285714
Logistic Regression (unweighted),PR,0.9545454545454546,0.10727969348659004
Logistic Regression (unweighted),PR,0.9545454545454546,0.10741687979539642
Logistic Regression (unweighted),PR,0.9545454545454546,0.10755441741357234
Logistic Regression (unweighted),PR,0.9545454545454546,0.1076923076923077
Logistic Regression (unweighted),PR,0.9545454545454546,0.10783055198973042
Logistic Regression (unweighted),PR,0.9545454545454546,0.10796915167095116
Logistic Regression (unweighted),PR,0.9545454545454546,0.10810810810810811
Logistic Regression (unweighted),PR,0.9545454545454546,0.10824742268041238
Logistic Regression (unweighted),PR,0.9545454545454546,0.10838709677419354
Logistic Regression (unweighted),PR,0.9545454545454546,0.10852713178294573
Logistic Regression (unweighted),PR,0.9545454545454546,0.10866752910737387
Logistic Regression (unweighted),PR,0.9545454545454546,0.10880829015544041
Logistic Regression (unweighted),PR,0.9545454545454546,0.10894941634241245
Logistic Regression (unweighted),PR,0.9545454545454546,0.10909090909090909
Logistic Regression (unweighted),PR,0.9545454545454546,0.10923276983094929
Logistic Regression (unweighted),PR,0.9545454545454546,0.109375
Logistic Regression (unweighted),PR,0.9545454545454546,0.10951760104302477
Logistic Regression (unweighted),PR,0.9545454545454546,0.10966057441253264
Logistic Regression (unweighted),PR,0.9545454545454546,0.10980392156862745
Logistic Regression (unweighted),PR,0.9545454545454546,0.1099476439790576
Logistic Regression (unweighted),PR,0.9545454545454546,0.11009174311926606
Logistic Regression (unweighted),PR,0.9545454545454546,0.11023622047244094
Logistic Regression (unweighted),PR,0.9431818181818182,0.10906701708278581
Logistic Regression (unweighted),PR,0.9431818181818182,0.10921052631578948
Logistic Regression (unweighted),PR,0.9431818181818182,0.10935441370223979
Logistic Regression (unweighted),PR,0.9431818181818182,0.10949868073878628
Logistic Regression (unweighted),PR,0.9431818181818182,0.1096433289299868
Logistic Regression (unweighted),PR,0.9431818181818182,0.10978835978835978
Logistic Regression (unweighted),PR,0.9431818181818182,0.10993377483443709
Logistic Regression (unweighted),PR,0.9431818181818182,0.11007957559681697
Logistic Regression (unweighted),PR,0.9431818181818182,0.1102257636122178
Logistic Regression (unweighted),PR,0.9431818181818182,0.11037234042553191
Logistic Regression (unweighted),PR,0.9431818181818182,0.11051930758988016
Logistic Regression (unweighted),PR,0.9431818181818182,0.11066666666666666
Logistic Regression (unweighted),PR,0.9431818181818182,0.11081441922563418
Logistic Regression (unweighted),PR,0.9431818181818182,0.11096256684491979
Logistic Regression (unweighted),PR,0.9431818181818182,0.1111111111111111
Logistic Regression (unweighted),PR,0.9431818181818182,0.11126005361930295
Logistic Regression (unweighted),PR,0.9431818181818182,0.11140939597315436
Logistic Regression (unweighted),PR,0.9431818181818182,0.11155913978494623
Logistic Regression (unweighted),PR,0.9431818181818182,0.1117092866756393
Logistic Regression (unweighted),PR,0.9431818181818182,0.11185983827493262
Logistic Regression (unweighted),PR,0.9431818181818182,0.11201079622132254
Logistic Regression (unweighted),PR,0.9431818181818182,0.11216216216216217
Logistic Regression (unweighted),PR,0.9431818181818182,0.11231393775372124
Logistic Regression (unweighted),PR,0.9431818181818182,0.11246612466124661
Logistic Regression (unweighted),PR,0.9431818181818182,0.11261872455902307
Logistic Regression (unweighted),PR,0.9431818181818182,0.11277173913043478
Logistic Regression (unweighted),PR,0.9431818181818182,0.11292517006802721
Logistic Regression (unweighted),PR,0.9431818181818182,0.11307901907356949
Logistic Regression (unweighted),PR,0.9431818181818182,0.11323328785811733
